date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
1998-11-26,,,,,1317.3383959446996,1536.7611749141465,,,1439.0493715804876,,,,1606.1694905070667,,,,,1495.1245620352106,1012.4772388354021,
1998-12-17,1455.6447925872421,1130.9725639584433,,,,,,1711.239108412168,,1225.2678934857804,,,,,,1311.834879640992,1510.0332613344424,,,
1998-12-24,1440.9859737925563,,,,1304.3535787158646,,,,1444.6002303750101,1213.5415387505486,,1466.8589052060736,,,,,,,1031.2032327704796,
1998-12-31,,,,,,1527.863910525106,,1715.6812334630927,,,,1467.8668311236027,,1359.453161167619,,,1501.6723478778977,1506.1556281912087,,
1999-01-07,,,,,1314.2212756119766,,,,1467.479004189525,1235.6099834528704,,1460.8516196494388,1604.6802120775394,,,1292.1719611185927,1503.1075645413973,1480.5744240406048,1052.4136083749588,
1999-01-21,1448.7714535465614,,,,1300.74207975361,1520.4104094721274,,1716.4943452891685,1489.1842475530136,,,,,,,,,,,
1999-01-28,,1121.4689700681417,,,,1502.939591949888,,1717.6191231443322,,,,,1619.2668997274427,1364.0884580202928,,1275.484076257282,,,,
1999-02-11,,,,,,1494.0994767330717,,,1510.040753573875,,,,1599.5736274368671,,,1257.7472743891462,,1488.2639178565473,,
1999-02-18,,1141.7168076183652,,,1286.6577460855456,,,1734.7206568401486,,1268.9309853991126,,,,1367.0589702684238,,,1526.972929311084,,,
1999-03-04,,1129.0550475688315,,,,,,,,,,,,,,,,,,
1999-03-18,,,,,,,,,,1248.615261254356,,,1587.7976637234576,1353.2990415943227,,1282.3791981999057,,1477.820294721463,1066.8173583724274,
1999-04-01,,1162.0716611212335,,,,1495.631908381085,,1748.9711008763156,1499.8338719049714,,,1445.4537470052815,1592.4515585395386,,,,1491.4839008887204,,1070.3376024946735,
1999-04-08,1496.4148377140573,,,,,,,,,,,,,,,1295.0577060344785,,,,
1999-04-15,,,,,,,,,,,,,,,,,,1462.9215737065151,,
1999-04-22,,,,,,1497.3893590496066,,1734.0997615640313,1492.560014913197,,,1443.9242172081163,1606.3791149486035,,,,,1470.8739170592435,1061.9574557834576,
1999-04-29,1488.545707313727,1157.07776970187,,,,,,,,,,1447.667999458186,,1348.871583164462,,1291.7056483531642,1472.5188863454896,,,
1999-05-06,,,,,1238.2911519062484,,,,1475.4322477292656,,,1440.9745840706607,1614.7259232488045,1338.26563890953,,,,1486.4062230817678,1046.0657930958723,
1999-05-13,1468.4191878280667,1163.9261544118503,,,,,,,,1241.6117947642092,,1452.9917360198062,,1325.7652489259228,,1296.7184003214347,1492.3524949016555,,,
1999-05-20,1471.4853563435943,1152.9091494171432,,,1256.2486198240965,1537.9779823110005,,1744.3702397708935,,,,,,,,,1510.1683371569932,,,
1999-09-16,,,,,1271.3981242350028,1519.4838186239385,,,,,,,1614.6520581911514,,,1311.959503516509,1492.7812726520606,,,
1999-09-30,1502.8274276868808,1147.6833054213905,,,,1527.1507195898891,,1731.962243938575,,,,1410.7599578069742,,,,,,1477.3860126930053,,
1999-10-07,,,1334.1286472193476,,1289.979562473045,,,,1510.0961687302677,,,,1608.0864530629385,,,1326.0789171321785,1486.835762066332,,,
1999-10-14,1491.1500103274825,,,,,1499.4658458157455,,,,,,,1588.1925894303906,,,,,1473.4473571513433,,
1999-10-21,,,1335.633158320844,,1302.3684083689175,,,,1490.8532192676248,,,,,,,1339.3167519765593,1512.306925737228,,,
1999-10-28,,,,,,1488.0120774623679,,1720.4288834222284,,,,,,,,,,,,
1999-11-04,1485.6918606276681,,,,,,,1720.8924834167713,,,,,1573.5253822937966,,,1328.8839552436245,,1467.2460322169454,,
1999-11-11,,1140.1286825200634,1321.7384414040255,,1333.827058831131,,,,1478.096028166904,,,1412.100781768667,,,,,1529.5548733654718,,,
1999-11-18,1497.227891773522,,,,1349.1803120829854,1506.2099442393674,,1717.0609881747628,,,,,1587.1291618008358,,,1303.8124666157871,,,,
1999-12-09,,1135.4442934326185,1322.0493159655773,,,,,,1476.6462800517047,,,1392.90494581038,,,,,1529.7969151588502,1467.5855050085172,,
1999-12-23,,,,,,1501.1646563849445,,,,,,,,,,,,,,
1999-12-30,1478.3739074690511,1123.2861688567864,1337.8091115079226,,1377.6822594081086,,,1713.8424213772405,1469.2634017079486,,,1395.3483674694705,1593.8775310458655,,,1303.9010652142226,1521.4325971094504,1472.916233979819,,
