,Data,Time,Home,Score,Away,Venue,Season
24,Sat 16 Oct,15:00,London Irish,30-31,Leicester Tigers,Twickenham Stoop,1999-2000
25,Sun 17 Oct,15:00,Sale Sharks,9-13,Northampton Saints,Heywood Road,1999-2000
26,Sun 17 Oct,15:00,Saracens,55-6,Newcastle Falcons,Vicarage Road,1999-2000
27,Sat 23 Oct,13:00,Leicester Tigers,36-19,Bristol Shoguns,Welford Road,1999-2000
28,Thu 28 Oct,15:00,NEC Harlequins,36-20,Bristol Shoguns,Twickenham Stoop,1999-2000
29,Fri 29 Oct,19:45,Sale Sharks,12-58,Saracens,Heywood Road,1999-2000
30,Sat 30 Oct,13:00,Bath Rugby,25-25,London Irish,Recreation Ground,1999-2000
31,Sat 30 Oct,13:00,Leicester Tigers,61-12,Bedford Blues,Welford Road,1999-2000
32,Sat 30 Oct,15:00,Northampton Saints,9-25,Gloucester,Franklin's Gardens,1999-2000
33,Sat 30 Oct,19:30,London Wasps,19-19,Newcastle Falcons,Loftus Road,1999-2000
34,Fri 5 Nov,19:30,Gloucester,35-14,Sale Sharks,Kingsholm,1999-2000
35,Fri 5 Nov,19:30,Newcastle Falcons,12-12,Leicester Tigers,Kingston Park,1999-2000
36,Fri 5 Nov,20:00,Bristol Shoguns,19-29,Northampton Saints,Memorial Stadium,1999-2000
37,Sat 6 Nov,12:00,Bedford Blues,24-28,Bath Rugby,Goldington Road,1999-2000
38,Sun 7 Nov,15:00,Saracens,27-26,London Wasps,Vicarage Road,1999-2000
39,Sun 7 Nov,15:05,London Irish,16-17,NEC Harlequins,Twickenham Stoop,1999-2000
40,Sat 13 Nov,14:15,Bath Rugby,45-12,Newcastle Falcons,Recreation Ground,1999-2000
41,Sat 13 Nov,15:00,Leicester Tigers,28-9,London Wasps,Welford Road,1999-2000
42,Sat 13 Nov,15:00,NEC Harlequins,11-10,Bedford Blues,Twickenham Stoop,1999-2000
43,Sat 13 Nov,15:00,Northampton Saints,24-19,London Irish,Franklin's Gardens,1999-2000
44,Sat 13 Nov,16:00,Sale Sharks,15-40,Bristol Shoguns,Heywood Road,1999-2000
45,Sun 14 Nov,15:00,Gloucester,22-19,Saracens,Kingsholm,1999-2000
