Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2002-10-31,1415.8119632625815,,1388.762586942739,,1539.8353353244975,1338.3864139986717,1357.9287173265543,1695.7174890968413,1395.1689959093026,,,1446.2301167327093,1557.2399853023371,,,1479.511204785631,1413.4697867357327,1564.6476493266389,,
2002-11-07,1415.6318276723196,,1387.2398415102857,,1540.8011465397112,1344.0642338298853,1372.6260694476225,1701.7936654240498,1398.1739134990416,,,1428.172488949256,1553.7759182899865,,,1477.4315643277482,1411.7122597784341,1557.838625351669,,
2002-11-14,1415.4516920820574,,1385.7170960778321,,1544.870402592612,1348.6878395536269,1384.2210015058458,1709.7209376924511,1401.1788310887807,,,1414.7450310006448,1550.3118512776362,,,1475.327379977724,1409.9547328211358,1551.029601376699,,
2002-11-21,1414.7268524761214,,1382.230785417231,,1548.9396586455127,1353.3114452773684,1395.815933564069,1717.6482099608525,1412.3922523851243,,,1401.3175730520334,1545.0093052842522,,,1473.2231956276999,1410.785047298407,1533.868421506132,,
2002-11-28,1414.0020128701854,,1397.418926310344,,1553.0089146984135,1356.7078137958727,1387.5471756848965,1697.8177140184914,1423.6056736814678,,,1388.9674476232067,1539.706759290868,,,1485.5071561234108,1411.6153617756784,1516.707241635565,,
2002-12-05,1414.420377872099,,1412.607067203457,,1557.9270087179802,1360.1041823143769,1379.2784178057238,1677.9872180761304,1424.7490579653493,,,1376.6173221943802,1541.7803452653998,,,1497.791116619122,1410.219308162988,1529.6343821551002,,
2003-01-02,1414.8387428740127,,1427.7952080965701,,1569.9674608181895,1362.1130281067792,1380.347972550845,1672.4496776962137,1425.8924422492307,,,1375.315805747811,1543.8539312399319,,,1494.7477838607524,1408.8232545502976,1542.5615226746354,,
2003-01-09,1406.1067703111696,,1413.4692636062036,,1582.0079129183987,1364.1218738991815,1381.4175272959662,1666.912137316297,1428.325441914217,,,1374.0142893012417,1524.037432434528,,,1491.7044511023826,1402.3317325500952,1542.8852516782113,,
2003-02-06,1397.3747977483265,,1399.1433191158374,,1588.971761952717,1354.2655824773024,1381.5542699623757,1671.8600718535022,1430.7584415792032,,,1372.7127728546725,1522.5271264167973,,,1499.4355891878063,1395.8402105498926,1543.208980681787,,
2003-02-13,1399.7817749485685,,1401.4004909489506,,1595.9356109870355,1344.4092910554234,1381.6910126287853,1676.808006390707,1422.629906239866,,,1383.170582367068,1521.0168203990665,,,1507.1667272732298,1387.8194876238408,1548.5240365972552,,
2003-03-06,1402.1887521488104,,1403.6576627820639,,1599.246307315725,1349.0660371190727,1382.7232285634977,1672.2849337420898,1414.5013709005286,,,1393.6283918794634,1525.2805963739295,,,1514.8978653586535,1379.7987646977892,1552.8140080330575,,
2003-03-20,1389.8264724022529,,1393.8930006704948,,1602.5570036444149,1353.7227831827217,1383.75544449821,1667.7618610934728,1406.3728355611913,,,1404.0862013918588,1529.5443723487924,,,1522.6290034440772,1371.7780417717374,1560.0694552328164,,
2003-04-10,1395.536676418665,,1388.910869387529,,1605.8676999731047,1358.379529246371,1384.7876604329224,1663.2387884448556,1402.4700057754321,,,1407.3625194921478,1533.8081483236554,,,1520.7543449037903,1356.435792872079,1567.324902432575,,
2003-04-17,1395.5972218174945,,1383.9287381045629,,1609.1783963017942,1363.03627531002,1392.4042120472382,1657.8573120082726,1398.5671759896727,,,1410.638837592437,1538.0719242985183,,,1518.8796863635037,1359.5187498770586,1567.7868416167782,,
2003-04-24,1395.6577672163241,,1378.946606821597,,1611.0205141998438,1367.6930213736694,1400.020763661554,1652.4758355716895,1394.6643462039135,,,1413.915155692726,1535.547595094154,,,1517.0050278232168,1362.6017068820383,1568.2487808009816,,
2003-05-01,1395.7183126151538,,1379.002564024912,,1612.8626320978933,1360.975140930339,1407.6373152758697,1647.0943591351065,1404.5434140299146,,,1417.4273436658304,1533.02326588979,,,1505.8001562324548,1365.684663887018,1568.7107199851848,,
2003-05-08,1395.7788580139834,,1379.0585212282272,,1609.6004603698607,1354.2572604870086,1415.2538668901855,1624.7853114364718,1414.422481855916,,,1420.939531638935,1540.795097822369,,,1494.5952846416926,1368.7986193215916,1569.1726591693882,,
2003-05-15,1395.839403412813,,1379.1832853150563,,1606.338288641828,1363.8105718280835,1409.7799981794417,1623.343957957476,1424.301549681917,,,1414.0949124182255,1548.5669297549478,,,1487.4904800957438,1371.9125747561654,1569.6345983535914,,
2003-05-22,1403.3191461342853,,1379.3080494018857,,1597.638760155518,1373.3638831691587,1404.306129468698,1621.90260447848,1426.9981223684827,,,1407.250293197516,1546.4766734756017,,,1480.3856755497948,1377.334580299006,1577.474995484763,,
