Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2000-11-23,1551.0483983383444,,1372.6029122632428,,1431.6540854319205,,,1728.6408348623734,1453.695459719501,,,,1539.4205777267182,,,,,,,
2000-11-30,1553.2879543400607,,,,1440.8872150589734,1351.3597725938746,,,,,,1413.1876834277136,1543.5428689656376,,,,,1499.9629227102448,,
2000-12-07,,,1383.4588824022699,,,,,1735.4509631468854,1451.9900441249622,,,,,,1252.7811161484558,1343.0700560570565,1522.136668376235,,,
2000-12-21,,,1392.6973663173947,,,,,1739.0068990299123,1462.394270988276,,,,1564.9787679751125,,,1348.9385515424076,1526.0070737049912,,,
2000-12-28,1536.3555864705527,,,,1435.0103547395606,1324.8168403383684,,,,,,1398.1910106134435,,,1244.3523709624326,1333.9107717420688,,1510.6899670423961,,
2001-01-04,,,,,,,,,,,,,1566.8361770354938,,,,1510.1921394516671,,,
2001-01-11,1557.0681333532473,,1408.122759298999,,,,,,,,,,,,1261.96218521961,,,,,
2001-02-08,,,,,,1331.7905049777746,,1752.7240651642294,,,,,,,,,,,,
2001-02-15,,,1412.7335189553173,,1395.4755793669315,,,,1442.799945729067,,,1412.2612779091953,1559.856342660548,,,,1496.8685943995526,,,
2001-02-22,,,,,,,,,1446.6117403441226,,,,,,,,,,,
2001-03-01,1547.5168924793768,,,,,,,1761.59386511844,1441.5608407510858,,,,1562.8698750281376,,,,,,,
2001-03-08,,,,,,,,1762.605543848338,,,,1393.2216803336646,,,,,,,,
2001-03-15,,,1405.720857141401,,1395.7496307852866,1360.1469961433645,,,1421.5290466568865,,,1399.6962657387714,1553.3594445365554,,,,1501.2030642130567,,,
2001-03-22,1553.9526913788452,,,,,,,1773.5412453056556,1434.6340956988904,,,,,,1238.4911173224664,1305.249638987236,1506.9383702467578,,,
2001-03-29,,,,,,,,,,,,,,,1224.266559195226,,,1552.5572396174796,,
2001-04-05,1558.3359922550144,,,,1429.808434692663,1379.7404019363091,,,,,,1403.6720921820413,1547.720431105496,,,,,1554.3649039424215,,
2001-04-12,,,,,,,,,,,,,,,1212.3126787691035,1324.9968352632072,,1558.334807906863,,
2001-04-19,,,1409.43262649871,,,,,1754.743323979874,1421.444240295175,,,,,,1207.0831863699955,1316.5970424131606,1505.461498048856,,,
2001-09-06,,,1390.2355427143546,,1433.1627231023188,1359.4710159095775,1317.5414816584973,,,,,1427.6208291120192,,,,,,1573.3860806813486,,
2001-09-13,,,,,,1343.9984188443516,,1739.179068997541,1441.5212162857433,,,,1530.7741873373734,,,1347.4616339354748,1505.3393013912118,,,
2001-09-20,1519.2309526270044,,1402.9074889734902,,1420.5624042143827,,1303.4920797127186,,,,,1409.8089715683166,,,,,,1547.3048393503186,,
2001-09-27,,,1408.5433438916505,,,1365.5448885110209,,1748.3285003837573,1426.7518756157126,,,,,,,1354.5471474486558,1531.8740415509976,,,
2001-10-18,1520.3791804062885,,,,1441.7457178062134,,1314.4782455723075,,,,,1435.2886708457975,1521.6924806070829,,,,,1512.395756747797,,
2001-10-25,,,1413.017147389095,,,1373.284066846815,,1760.0754160190827,1454.6209428610773,,,1440.405112676648,,,,1364.8310561690107,,,,
2001-11-15,1513.1516982056714,,,,1441.2457489959272,,1331.2000138325254,,,,,,1499.4986293053714,,,,1516.9309885845928,1481.7106471318357,,
2001-11-22,,,1417.4030813584454,,,1394.220698149973,,,1457.9453338504486,,,1466.6592686357894,,,,1355.8028322488494,1485.7749121280185,1486.1663372058247,,
2001-11-29,1508.3417115460825,,,,1443.581520703738,,1311.2138868902534,1744.3694668908167,,,,,1470.6061916174892,,,,,,,
2001-12-06,,,1421.223397866192,,1448.432548950829,1375.4331765124314,,,1468.5380142659408,,,1443.1000595582245,,,,,,1485.4631530741067,,
2001-12-13,1505.7202357155386,,,,,,1317.2199646870633,1753.4664220567795,,,,,1495.1938238217913,,,1387.2454091650245,1482.354096755814,,,
2001-12-27,,,,,,1360.294272393934,,1759.1883943972412,1478.7093288008932,,,,,,,,,,,
2002-01-03,1511.6929063163914,,,,1450.6294440469171,,1306.3220750782395,,,,,,1503.1768942896567,,,,1478.7347910329447,,,
2002-01-31,,,,,,1343.6860255506838,,,,,,1436.8772661621595,,,,,,,,
2002-02-14,1515.7916849451776,,,,1459.7974869907969,,1294.3813444325006,,,,,,1494.4212550617347,,,,1471.7748686851942,1509.0814344557282,,
2002-02-28,,,1417.4663504056734,,,1327.2746863260306,,1768.5839176069476,1471.6606125718756,,,,,,,1418.1879871227825,1450.691830857033,,,
2002-03-14,1496.0623172125797,,,,1478.9701394598715,,1327.4969585231026,,,,,,,,,,,,,
